competitor,Discipline,Sex,Nationality,mark_numeric,Predicted_World_Record_Breaker,Probability_World_Record_Breaker,World_Record_Correct,Actual_World_Record_Breaker,Actual_National_Record_Breaker,Actual_Personal_Best_Breaker
Great Britain & NI,4x400-metres-relay,female,GBR,204.46,No,0.00065012375,Yes,No,No,No
Belgium,4x400-metres-relay,female,BEL,204.52,No,0.00065012375,Yes,No,No,No
Poland,4x400-metres-relay,female,POL,204.56,No,0.00065012375,Yes,No,No,No
Ireland,4x400-metres-relay,female,IRL,204.69,No,0.00065012375,Yes,No,Yes,Yes
Italy,4x400-metres-relay,female,ITA,204.71,No,0.00065012375,Yes,No,No,No
United States,4x400-metres-relay,female,USA,204.72,No,0.0014460868,Yes,No,No,No
Spain,4x400-metres-relay,female,ESP,204.76,No,0.00065012375,Yes,No,Unknown,Unknown
South Africa,4x400-metres-relay,female,RSA,204.84,No,0.00065012375,Yes,No,Unknown,Unknown
Georgia,4x400-metres-relay,female,INT,204.85,No,0.00065012375,Yes,No,No,Unknown
Great Britain & NI,4x400-metres-relay,female,GBR,204.89,No,0.00065012375,Yes,No,No,No
Italy,4x400-metres-relay,female,ITA,205.0,No,0.00065012375,Yes,No,No,No
Arkansas,4x400-metres-relay,female,INT,205.03,No,0.00065012375,Yes,No,No,No
International,4x400-metres-relay,female,INT,205.2,No,0.00065012375,Yes,No,No,Unknown
Arkansas,4x400-metres-relay,female,INT,205.2,No,0.00065012375,Yes,No,No,No
Czechia,4x400-metres-relay,female,CZE,205.31,No,0.00065012375,Yes,No,No,Unknown
Germany,4x400-metres-relay,female,GER,205.33,No,0.00065012375,Yes,No,No,No
Norway,4x400-metres-relay,female,NOR,205.35,No,0.00065012375,Yes,No,Unknown,Unknown
Australia,4x400-metres-relay,female,AUS,205.43,No,0.00065012375,Yes,No,No,No
Arkansas,4x400-metres-relay,female,USA,205.48,No,0.0014460868,Yes,No,No,No
Spain,4x400-metres-relay,female,ESP,205.68,No,0.00065012375,Yes,No,Unknown,Unknown
Cique Elite,4x400-metres-relay,female,USA,205.73,No,0.0014460868,Yes,No,No,Unknown
Georgia,4x400-metres-relay,female,INT,205.8,No,0.00065012375,Yes,No,No,Unknown
Kenya,4x400-metres-relay,female,KEN,205.8,No,0.00065012375,Yes,No,Unknown,Unknown
France,4x400-metres-relay,female,FRA,205.8,No,0.00065012375,Yes,No,No,No
Great Britain & NI,4x400-metres-relay,female,GBR,205.84,No,0.00065012375,Yes,No,No,No
USC,4x400-metres-relay,female,INT,206.01,No,0.00065012375,Yes,No,No,No
United States,4x400-metres-relay,female,USA,206.05,No,0.0014460868,Yes,No,No,No
Georgia,4x400-metres-relay,female,INT,206.07,No,0.00065012375,Yes,No,No,Unknown
Arkansas,4x400-metres-relay,female,USA,206.08,No,0.0014460868,Yes,No,No,No
South Carolina,4x400-metres-relay,female,USA,206.24,No,0.0014460868,Yes,No,No,No
Spain,4x400-metres-relay,female,ESP,206.25,No,0.00065012375,Yes,No,Unknown,Unknown
Canada,4x400-metres-relay,female,CAN,206.33,No,0.00065012375,Yes,No,No,No
Kentucky,4x400-metres-relay,female,INT,206.33,No,0.00065012375,Yes,No,No,No
Empire Athletics,4x400-metres-relay,female,USA,206.39,No,0.0014460868,Yes,No,No,Yes
Italy,4x400-metres-relay,female,ITA,206.4,No,0.00065012375,Yes,No,No,No
Cique Elite,4x400-metres-relay,female,INT,206.41,No,0.00065012375,Yes,No,No,Unknown
Georgia,4x400-metres-relay,female,INT,206.42,No,0.00065012375,Yes,No,No,Unknown
France,4x400-metres-relay,female,FRA,206.46,No,0.00065012375,Yes,No,No,No
Great Britain & NI U23,4x400-metres-relay,female,GBR,206.52,No,0.00065012375,Yes,No,No,Unknown
USA Red,4x400-metres-relay,female,USA,206.59,No,0.0014460868,Yes,No,No,No
Norway,4x400-metres-relay,female,NOR,206.61,No,0.00065012375,Yes,No,Unknown,Unknown
Arkansas B,4x400-metres-relay,female,INT,206.64,No,0.00065012375,Yes,No,No,Unknown
Russia,4x400-metres-relay,female,RUS,206.75,No,0.0014460868,Yes,No,No,No
France,4x400-metres-relay,female,FRA,206.87,No,0.00065012375,Yes,No,No,No
Germany,4x400-metres-relay,female,GER,206.87,No,0.00065012375,Yes,No,No,No
Great Britain & NI,4x400-metres-relay,female,GBR,206.87,No,0.00065012375,Yes,No,No,No
Georgia,4x400-metres-relay,female,INT,206.89,No,0.00065012375,Yes,No,No,Unknown
Iowa,4x400-metres-relay,female,INT,206.9,No,0.00065012375,Yes,No,No,Unknown
USC,4x400-metres-relay,female,INT,206.97,No,0.00065012375,Yes,No,No,No
France U20,4x400-metres-relay,female,FRA,213.56,No,0.00065012375,Yes,No,No,No
Germany U20,4x400-metres-relay,female,GER,214.35,No,0.00065012375,Yes,No,No,No
Italy U20,4x400-metres-relay,female,ITA,214.65,No,0.00065012375,Yes,No,No,No
Caroline NYAGA,5-kilometres,female,KEN,859.0,Yes,0.99841225,No,No,No,Yes
Hirut MESHESHA,5-kilometres,female,ETH,870.0,Yes,0.99841225,No,No,No,Unknown
Nadia BATTOCLETTI,5-kilometres,female,ITA,872.0,Yes,0.99841225,No,No,Yes,Yes
Hawi ABERA,5-kilometres,female,ETH,872.0,Yes,0.99841225,No,No,No,Yes
Likina AMEBAW,5-kilometres,female,ETH,873.0,Yes,0.99841225,No,No,No,Unknown
Likina AMEBAW,5-kilometres,female,ETH,878.0,Yes,0.99841225,No,No,No,Unknown
Diane VAN ES,5-kilometres,female,NED,879.0,Yes,0.99841225,No,No,No,Unknown
Maurine Jepkoech CHEBOR,5-kilometres,female,KEN,880.0,Yes,0.99841225,No,No,No,Unknown
Aleshign BAWEKE,5-kilometres,female,ETH,883.0,No,0.0015877518,Yes,No,No,Unknown
Klara LUKAN,5-kilometres,female,SLO,885.0,No,0.0015877518,Yes,No,Yes,Yes
Medina EISA,5-kilometres,female,ETH,888.0,No,0.0015877518,Yes,No,No,No
Yenenesh SHIMKET,5-kilometres,female,ETH,888.0,No,0.0015877518,Yes,No,No,Unknown
Birtukan MOLLA,5-kilometres,female,ETH,889.0,No,0.0015877518,Yes,No,No,Unknown
Fotyen TESFAY,5-kilometres,female,ETH,890.0,No,0.0015877518,Yes,No,No,Yes
Gela HAMBESE,5-kilometres,female,ETH,891.0,No,0.0015877518,Yes,No,No,Unknown
Nancy CHEROP,5-kilometres,female,KEN,892.0,No,0.0015877518,Yes,No,No,Unknown
Cassandre BEAUGRAND,5-kilometres,female,FRA,893.0,No,0.0015877518,Yes,No,Yes,Unknown
Gela HAMBESE,5-kilometres,female,ETH,893.0,No,0.0015877518,Yes,No,No,Unknown
Janeth CHEPNGETICH,5-kilometres,female,KEN,895.0,No,0.0015877518,Yes,No,No,Unknown
Grace Loibach NAWOWUNA,5-kilometres,female,KEN,895.0,No,0.0015877518,Yes,No,No,Unknown
Caroline Makandi GITONGA,5-kilometres,female,KEN,896.0,No,0.0015877518,Yes,No,No,Unknown
Taylor ROE,5-kilometres,female,USA,897.0,No,0.0015877518,Yes,No,No,Unknown
Maurine Jepkoech CHEBOR,5-kilometres,female,KEN,901.0,No,0.0015877518,Yes,No,No,Unknown
Tsigie GEBRESELAMA,5-kilometres,female,ETH,901.0,No,0.0015877518,Yes,No,No,Yes
Janet Jepkoech CHEPKEMOI,5-kilometres,female,KEN,902.0,No,0.0015877518,Yes,No,No,Unknown
Lemlem HAILU,5-kilometres,female,ETH,902.0,No,0.0015877518,Yes,No,No,Unknown
Klara LUKAN,5-kilometres,female,SLO,903.0,No,0.0015877518,Yes,No,Yes,Yes
Sarah LAHTI,5-kilometres,female,SWE,904.0,No,0.0015877518,Yes,No,No,Yes
Esther CHEBET,5-kilometres,female,UGA,905.0,No,0.0015877518,Yes,No,No,Unknown
Josette ANDREWS,5-kilometres,female,USA,906.0,No,0.0015877518,Yes,No,No,Unknown
Emebet KEBEDE,5-kilometres,female,ETH,908.0,No,0.0015877518,Yes,No,No,Unknown
Klara LUKAN,5-kilometres,female,SLO,909.0,No,0.0015877518,Yes,No,Yes,Yes
Alice Chemtai LOITASIA,5-kilometres,female,KEN,909.0,No,0.0015877518,Yes,No,No,Unknown
Lemlem HAILU,5-kilometres,female,ETH,913.0,No,0.0015877518,Yes,No,No,Unknown
Tsigie TESEMA,5-kilometres,female,ETH,914.0,No,0.0015877518,Yes,No,No,Unknown
Loice CHEKWEMOI,5-kilometres,female,UGA,915.0,No,0.0015877518,Yes,No,No,Unknown
Bailey HERTENSTEIN,5-kilometres,female,USA,916.0,No,0.0015877518,Yes,No,No,Unknown
Klara LUKAN,5-kilometres,female,SLO,916.0,No,0.0015877518,Yes,No,Yes,Yes
Bethany HASZ,5-kilometres,female,USA,917.0,No,0.0015877518,Yes,No,No,Yes
Birtukan FETEM,5-kilometres,female,ETH,917.0,No,0.0015877518,Yes,No,No,Unknown
Courtney FRERICHS,5-kilometres,female,USA,918.0,No,0.0015877518,Yes,No,No,Unknown
Cari HUGHES,5-kilometres,female,GBR,918.0,No,0.0015877518,Yes,No,No,Unknown
Lemlem NIBRET,5-kilometres,female,ETH,919.0,No,0.0015877518,Yes,No,No,No
Winnie JEPTARUS,5-kilometres,female,KEN,920.0,No,0.0015877518,Yes,No,No,Unknown
Katie SNOWDEN,5-kilometres,female,GBR,920.0,No,0.0015877518,Yes,No,No,Yes
Mariana MACHADO,5-kilometres,female,POR,921.0,No,0.0015877518,Yes,No,Yes,Unknown
Sofia THØGERSEN,5-kilometres,female,DEN,921.0,No,0.0015877518,Yes,No,Yes,Unknown
Juliette THOMAS,5-kilometres,female,BEL,921.0,No,0.0015877518,Yes,No,Yes,Unknown
Tsiyon ABEBE,5-kilometres,female,ETH,921.0,No,0.0015877518,Yes,No,No,Unknown
Annie RODENFELS,5-kilometres,female,USA,922.0,No,0.0015877518,Yes,No,No,No
Verity OCKENDEN,5-kilometres,female,GBR,922.0,No,0.0015877518,Yes,No,No,No
Tinebeb ASRES,5-kilometres,female,ETH,923.0,No,0.0015877518,Yes,No,No,Yes
Allie BUCHALSKI,5-kilometres,female,USA,923.0,No,0.0015877518,Yes,No,No,Unknown
Abby NICHOLS,5-kilometres,female,USA,923.0,No,0.0015877518,Yes,No,No,Yes
Isobel BATT-DOYLE,5-kilometres,female,AUS,925.0,No,0.0015877518,Yes,No,No,Unknown
Georgie GRGEC,5-kilometres,female,NZL,925.0,No,0.0015877518,Yes,No,No,Unknown
Katie CAMARENA,5-kilometres,female,USA,925.0,No,0.0015877518,Yes,No,No,Unknown
Laura GALVÁN,5-kilometres,female,MEX,926.0,No,0.0015877518,Yes,No,No,Unknown
Dominique SCOTT,5-kilometres,female,RSA,926.0,No,0.0015877518,Yes,No,No,Yes
Gesa Felicitas KRAUSE,5-kilometres,female,GER,926.0,No,0.0015877518,Yes,No,No,Unknown
Izzy FRY,5-kilometres,female,GBR,927.0,No,0.0015877518,Yes,No,No,Unknown
India WEIR,5-kilometres,female,GBR,927.0,No,0.0015877518,Yes,No,No,Unknown
Megan SAILOR,5-kilometres,female,USA,927.0,No,0.0015877518,Yes,No,No,Unknown
Katie IZZO,5-kilometres,female,USA,927.0,No,0.0015877518,Yes,No,No,Yes
Lemlem NIBRET,5-kilometres,female,ETH,928.0,No,0.0015877518,Yes,No,No,No
Roxane CLEPPE,5-kilometres,female,BEL,930.0,No,0.0015877518,Yes,No,Yes,Unknown
Laura GALVÁN,5-kilometres,female,MEX,930.0,No,0.0015877518,Yes,No,No,Unknown
Lemlem NIBRET,5-kilometres,female,ETH,931.0,No,0.0015877518,Yes,No,No,No
Amelia QUIRK,5-kilometres,female,GBR,932.0,No,0.0015877518,Yes,No,No,Unknown
Asayech ADMASU,5-kilometres,female,ETH,932.0,No,0.0015877518,Yes,No,No,Unknown
Annie RODENFELS,5-kilometres,female,USA,933.0,No,0.0015877518,Yes,No,No,No
Abigael CHEMNAGEI,5-kilometres,female,KEN,934.0,No,0.0015877518,Yes,No,No,Unknown
Margaret AKIDOR,5-kilometres,female,KEN,934.0,No,0.0015877518,Yes,No,No,Unknown
Katie WASSERMAN,5-kilometres,female,USA,934.0,No,0.0015877518,Yes,No,No,Unknown
Emily HAGGARD-KEARNEY,5-kilometres,female,IRL,935.0,No,0.0015877518,Yes,No,No,Unknown
Danielle JONES,5-kilometres,female,USA,935.0,No,0.0015877518,Yes,No,No,Unknown
Marta SERRANO,5-kilometres,female,ESP,937.0,No,0.0015877518,Yes,No,No,Unknown
Camille PLACE,5-kilometres,female,FRA,937.0,No,0.0015877518,Yes,No,No,Unknown
Bethany HASZ,5-kilometres,female,USA,937.0,No,0.0015877518,Yes,No,No,No
Holly DIXON,5-kilometres,female,GBR,938.0,No,0.0015877518,Yes,No,No,Unknown
Fabienne KÖNIGSTEIN,5-kilometres,female,GER,939.0,No,0.0015877518,Yes,No,No,Unknown
Verity OCKENDEN,5-kilometres,female,GBR,939.0,No,0.0015877518,Yes,No,No,No
Elvanie NIMBONA,5-kilometres,female,BDI,940.0,No,0.0015877518,Yes,No,No,Unknown
Everlyn KEMBOI,5-kilometres,female,USA,940.0,No,0.0015877518,Yes,No,No,Unknown
Carina REICHT,5-kilometres,female,AUT,940.0,No,0.0015877518,Yes,No,Unknown,Unknown
Beatrice CHEBET,5000-metres,female,KEN,838.06,Yes,0.9996031,Yes,Yes,Yes,Yes
Agnes Jebet NGETICH,5000-metres,female,KEN,841.29,Yes,0.9996031,No,No,Yes,Yes
Beatrice CHEBET,5000-metres,female,KEN,843.69,Yes,0.9996031,No,No,Yes,Yes
Gudaf TSEGAY,5000-metres,female,ETH,844.41,Yes,0.99968827,No,No,No,No
Freweyni HAILU,5000-metres,female,ETH,859.33,Yes,0.99966264,No,No,No,Yes
Nadia BATTOCLETTI,5000-metres,female,ITA,863.15,Yes,0.9986357,No,No,Yes,Yes
Birke HAYLOM,5000-metres,female,ETH,864.2,Yes,0.9995883,No,No,No,Yes
Birke HAYLOM,5000-metres,female,ETH,864.2,Yes,0.9995883,No,No,No,Yes
Gudaf TSEGAY,5000-metres,female,ETH,864.86,Yes,0.99968827,No,No,No,No
Agnes Jebet NGETICH,5000-metres,female,KEN,864.99,Yes,0.9996031,No,No,No,Yes
Josette ANDREWS,5000-metres,female,USA,865.37,Yes,0.9996332,No,No,No,Yes
Agnes Jebet NGETICH,5000-metres,female,KEN,865.8,Yes,0.9996031,No,No,No,Yes
Medina EISA,5000-metres,female,ETH,865.92,Yes,0.9995883,No,No,No,No
Chaltu DIDA,5000-metres,female,ETH,867.11,Yes,0.99968827,No,No,No,Yes
Beatrice CHEBET,5000-metres,female,KEN,867.12,Yes,0.9996031,No,No,No,No
Aleshign BAWEKE,5000-metres,female,ETH,867.33,Yes,0.9995883,No,No,No,Unknown
Aleshign BAWEKE,5000-metres,female,ETH,867.33,Yes,0.9995883,No,No,No,Unknown
Gudaf TSEGAY,5000-metres,female,ETH,868.18,Yes,0.99968827,No,No,No,No
Birke HAYLOM,5000-metres,female,ETH,868.8,Yes,0.9995883,No,No,No,Yes
Birke HAYLOM,5000-metres,female,ETH,868.8,Yes,0.9995883,No,No,No,Yes
Hirut MESHESHA,5000-metres,female,ETH,869.29,Yes,0.99966264,No,No,No,Unknown
Margaret AKIDOR,5000-metres,female,KEN,870.34,Yes,0.9996031,No,No,No,Yes
Caroline NYAGA,5000-metres,female,KEN,870.45,Yes,0.9996332,No,No,No,Yes
Likina AMEBAW,5000-metres,female,ETH,870.54,Yes,0.99968827,No,No,No,Unknown
Medina EISA,5000-metres,female,ETH,870.57,Yes,0.9995883,No,No,No,No
Fantaye BELAYNEH,5000-metres,female,ETH,870.9,Yes,0.99966264,No,No,No,Yes
Medina EISA,5000-metres,female,ETH,871.15,Yes,0.9995883,No,No,No,No
Rose DAVIES,5000-metres,female,AUS,871.45,Yes,0.99966264,No,No,Yes,Yes
Likina AMEBAW,5000-metres,female,ETH,871.51,Yes,0.99968827,No,No,No,Unknown
Aleshign BAWEKE,5000-metres,female,ETH,871.88,Yes,0.9995883,No,No,No,Unknown
Aleshign BAWEKE,5000-metres,female,ETH,871.88,Yes,0.9995883,No,No,No,Unknown
Asayech AYICHEW,5000-metres,female,ETH,871.88,Yes,0.9995883,No,No,No,Yes
Aleshign BAWEKE,5000-metres,female,ETH,871.94,Yes,0.9995883,No,No,No,Unknown
Aleshign BAWEKE,5000-metres,female,ETH,871.94,Yes,0.9995883,No,No,No,Unknown
Fotyen TESFAY,5000-metres,female,ETH,872.55,Yes,0.99968827,No,No,No,Yes
Aynadis MEBRATU,5000-metres,female,ETH,872.58,Yes,0.9995883,No,No,No,Yes
Georgia GRIFFITH,5000-metres,female,AUS,872.82,Yes,0.99968827,No,No,Yes,Unknown
Josette ANDREWS,5000-metres,female,USA,873.16,Yes,0.9996332,No,No,No,Yes
Caroline NYAGA,5000-metres,female,KEN,873.24,Yes,0.9996332,No,No,No,Yes
Fantaye BELAYNEH,5000-metres,female,ETH,873.27,Yes,0.99966264,No,No,No,Yes
Marta GARCÍA,5000-metres,female,ESP,873.4,Yes,0.99968827,No,No,Yes,Yes
Hirut MESHESHA,5000-metres,female,ETH,873.42,Yes,0.99966264,No,No,No,Unknown
Maureen KOSTER,5000-metres,female,NED,873.97,Yes,0.9996332,No,No,No,Yes
Nozomi TANAKA,5000-metres,female,JPN,874.1,Yes,0.99892837,No,No,No,No
Asayech AYICHEW,5000-metres,female,ETH,874.2,Yes,0.9995883,No,No,No,Yes
Marta ALEMAYO,5000-metres,female,ETH,874.46,Yes,0.9958145,No,No,No,Unknown
Marta ALEMAYO,5000-metres,female,ETH,874.46,Yes,0.9958145,No,No,No,Unknown
Marta ALEMAYO,5000-metres,female,ETH,874.46,Yes,0.9958145,No,No,No,Unknown
Hirut MESHESHA,5000-metres,female,ETH,875.36,Yes,0.99966264,No,No,No,Unknown
Caroline NYAGA,5000-metres,female,KEN,876.9,Yes,0.9996332,No,No,No,Yes
Nozomi TANAKA,5000-metres,female,JPN,877.19,Yes,0.584806,No,No,No,No
Jana VAN LENT,5000-metres,female,BEL,877.47,Yes,0.5691074,No,No,Yes,Unknown
Weini KELATI FREZGHI,5000-metres,female,USA,877.77,Yes,0.8352762,No,No,No,Yes
Weini KELATI FREZGHI,5000-metres,female,USA,878.15,No,8.758907e-05,Yes,No,No,Yes
Margaret AKIDOR,5000-metres,female,KEN,878.45,No,6.5735134e-05,Yes,No,No,Yes
Marta ALEMAYO,5000-metres,female,ETH,878.65,No,6.337613e-05,Yes,No,No,Unknown
Marta ALEMAYO,5000-metres,female,ETH,878.65,No,6.337613e-05,Yes,No,No,Unknown
Marta ALEMAYO,5000-metres,female,ETH,878.65,No,6.337613e-05,Yes,No,No,Unknown
Asayech AYICHEW,5000-metres,female,ETH,878.78,No,6.337613e-05,Yes,No,No,Yes
Yenawa NBRET,5000-metres,female,ETH,879.13,No,6.337613e-05,Yes,No,No,Unknown
Yenawa NBRET,5000-metres,female,ETH,879.13,No,6.337613e-05,Yes,No,No,Unknown
Karissa SCHWEIZER,5000-metres,female,USA,879.3,No,8.758907e-05,Yes,No,No,No
Hannah NUTTALL,5000-metres,female,GBR,879.48,No,4.364192e-05,Yes,No,No,Yes
Innes FITZGERALD,5000-metres,female,GBR,879.56,No,2.6835354e-05,Yes,No,No,Unknown
Innes FITZGERALD,5000-metres,female,GBR,879.56,No,2.6835354e-05,Yes,No,No,Unknown
Chaltu DIDA,5000-metres,female,ETH,879.64,No,0.00010306526,Yes,No,No,Yes
Hirut MESHESHA,5000-metres,female,ETH,880.01,No,7.735023e-05,Yes,No,No,Unknown
Janeth CHEPNGETICH,5000-metres,female,KEN,880.25,No,8.758907e-05,Yes,No,No,Yes
Joy CHEPTOYEK,5000-metres,female,UGA,880.27,No,6.5735134e-05,Yes,No,Yes,Yes
Lauren RYAN,5000-metres,female,AUS,880.39,No,0.00010306526,Yes,No,Yes,Yes
Hirut MESHESHA,5000-metres,female,ETH,880.46,No,7.735023e-05,Yes,No,No,Unknown
Elise VANDERELST,5000-metres,female,BEL,880.7,No,0.00010306526,Yes,No,Yes,Unknown
Rose DAVIES,5000-metres,female,AUS,880.83,No,7.735023e-05,Yes,No,Yes,Yes
Sembo ALMAYEW,5000-metres,female,ETH,881.75,No,6.337613e-05,Yes,No,No,Unknown
Jana VAN LENT,5000-metres,female,BEL,882.93,No,7.735023e-05,Yes,No,Yes,Unknown
Mekedes ALEMESHETE,5000-metres,female,ETH,883.29,No,6.337613e-05,Yes,No,No,Yes
Mekedes ALEMESHETE,5000-metres,female,ETH,883.29,No,6.337613e-05,Yes,No,No,Yes
Linden HALL,5000-metres,female,AUS,883.61,No,0.00010306526,Yes,No,Yes,Yes
Diane VAN ES,5000-metres,female,NED,883.8,No,8.758907e-05,Yes,No,No,Yes
Josette ANDREWS,5000-metres,female,USA,884.8,No,8.758907e-05,Yes,No,No,No
Caroline KARIBA,5000-metres,female,KEN,884.96,No,5.3859305e-05,Yes,No,No,Yes
Shelby HOULIHAN,5000-metres,female,USA,885.29,No,8.758907e-05,Yes,No,No,No
Beatrice CHEBET,5000-metres,female,KEN,885.59,No,6.5735134e-05,Yes,No,No,No
Emily MACKAY,5000-metres,female,USA,885.81,No,8.758907e-05,Yes,No,No,Yes
Samiyah HASSAN NOUR,5000-metres,female,DJI,885.93,No,7.735023e-05,Yes,No,Yes,Yes
Janeth CHEPNGETICH,5000-metres,female,KEN,886.16,No,8.758907e-05,Yes,No,No,Yes
Nadia BATTOCLETTI,5000-metres,female,ITA,886.36,No,1.910662e-05,Yes,No,No,No
Sarah CHELANGAT,5000-metres,female,UGA,886.41,No,6.5735134e-05,Yes,No,No,No
Shelby HOULIHAN,5000-metres,female,USA,886.52,No,8.758907e-05,Yes,No,No,No
Maureen KOSTER,5000-metres,female,NED,886.57,No,8.758907e-05,Yes,No,No,Yes
Nozomi TANAKA,5000-metres,female,JPN,887.14,No,3.242072e-05,Yes,No,No,No
Marta GARCÍA,5000-metres,female,ESP,887.18,No,0.00010306526,Yes,No,No,Yes
Maureen KOSTER,5000-metres,female,NED,887.31,No,8.758907e-05,Yes,No,No,Yes
Megan KEITH,5000-metres,female,GBR,887.34,No,3.2752672e-05,Yes,No,No,Yes
Caroline Makandi GITONGA,5000-metres,female,KEN,887.41,No,8.758907e-05,Yes,No,No,Yes
Fantaye BELAYNEH,5000-metres,female,ETH,887.46,No,7.735023e-05,Yes,No,No,No
Yenawa NBRET,5000-metres,female,ETH,887.56,No,6.337613e-05,Yes,No,No,Unknown
Yenawa NBRET,5000-metres,female,ETH,887.56,No,6.337613e-05,Yes,No,No,Unknown
Gabriela DEBUES-STAFFORD,5000-metres,female,CAN,887.83,No,0.00010306526,Yes,No,No,No
Hannah NUTTALL,5000-metres,female,GBR,888.09,No,4.364192e-05,Yes,No,No,Yes
Melissa COURTNEY-BRYANT,5000-metres,female,GBR,888.2,No,4.364192e-05,Yes,No,No,Yes
Caroline KARIBA,5000-metres,female,KEN,888.28,No,5.3859305e-05,Yes,No,No,Yes
Whittni MORGAN,5000-metres,female,USA,888.41,No,8.758907e-05,Yes,No,No,Yes
Sarah MADELEINE,5000-metres,female,FRA,888.79,No,4.364192e-05,Yes,No,No,Unknown
Innes FITZGERALD,5000-metres,female,GBR,888.84,No,2.6835354e-05,Yes,No,No,Unknown
Innes FITZGERALD,5000-metres,female,GBR,888.84,No,2.6835354e-05,Yes,No,No,Unknown
Bailey HERTENSTEIN,5000-metres,female,USA,888.91,No,6.5735134e-05,Yes,No,No,Unknown
Hawi ABERA,5000-metres,female,ETH,889.7,No,6.337613e-05,Yes,No,No,Unknown
Hawi ABERA,5000-metres,female,ETH,889.7,No,6.337613e-05,Yes,No,No,Unknown
Francine NIYOMUKUNZI,5000-metres,female,BDI,889.89,No,7.735023e-05,Yes,No,No,Yes
Taylor ROE,5000-metres,female,USA,889.91,No,6.5735134e-05,Yes,No,No,Yes
Maudie SKYRING,5000-metres,female,AUS,889.93,No,0.00010306526,Yes,No,No,Unknown
Klara LUKAN,5000-metres,female,SLO,890.4,No,6.5735134e-05,Yes,No,Yes,Yes
Hannah NUTTALL,5000-metres,female,GBR,890.42,No,4.364192e-05,Yes,No,No,Yes
Maurine Jepkoech CHEBOR,5000-metres,female,KEN,890.68,No,5.3859305e-05,Yes,No,No,Yes
Ella DONAGHU,5000-metres,female,USA,890.89,No,8.758907e-05,Yes,No,No,Yes
Elise VANDERELST,5000-metres,female,BEL,891.13,No,0.00010306526,Yes,No,Yes,Unknown
Joy CHEPTOYEK,5000-metres,female,UGA,891.17,No,6.5735134e-05,Yes,No,No,Yes
Nozomi TANAKA,5000-metres,female,JPN,891.26,No,2.4331244e-05,Yes,No,No,No
Maudie SKYRING,5000-metres,female,AUS,891.26,No,0.00010306526,Yes,No,No,Unknown
Aynadis MEBRATU,5000-metres,female,ETH,891.37,No,6.337613e-05,Yes,No,No,No
Margaret AKIDOR,5000-metres,female,KEN,892.0,No,5.3859305e-05,Yes,No,No,No
Dolphine Nyaboke OMARE,5000-metres,female,KEN,892.23,No,6.5735134e-05,Yes,No,No,Yes
Pamela KOSGEI,5000-metres,female,KEN,892.45,No,5.3859305e-05,Yes,No,No,Unknown
Sarah LAHTI,5000-metres,female,SWE,892.69,No,8.758907e-05,Yes,No,No,Yes
Lexy HALLADAY,5000-metres,female,USA,892.93,No,6.5735134e-05,Yes,No,No,Unknown
Tabithanjeri KAMAU,5000-metres,female,KEN,893.05,No,6.5735134e-05,Yes,No,No,No
Francine NIYOMUKUNZI,5000-metres,female,BDI,893.44,No,7.735023e-05,Yes,No,No,No
